char,name,replacement,codepoint,mufidecode,ontographe,order,,
î,LATIN SMALL LETTER I WITH CIRCUMFLEX,ĩ,,,i,,,
ı,LATIN SMALL LETTER DOTLESS I,i,,,i,,,
ȷ,LATIN SMALL LETTER DOTLESS J,j,,,j,,,
ł,LATIN SMALL LETTER L WITH STROKE,ł,,,l,,,
ᷝ,COMBINING LATIN SMALL LETTER L,ᷝ,1DDD,l,,,,
ͫ,COMBINING LATIN SMALL LETTER M,ͫ,,,m,,,
ͦ,COMBINING LATIN SMALL LETTER O,ͦ,,,o,,,
ᵒ,MODIFIER LETTER SMALL O,ͦ,,,o,,,
ô,LATIN SMALL LETTER O WITH CIRCUMFLEX,õ,,,o,,,
ꝑ,LATIN SMALL LETTER P WITH STROKE THROUGH DESCENDER,ꝑ,,,p,,,
Ꝑ,LATIN CAPITAL LETTER P WITH STROKE THROUGH DESCENDER,ꝑ,,,p,,,
ꝓ,LATIN SMALL LETTER P WITH FLOURISH,ꝓ,,,p,,,
Ꝓ,LATIN CAPITAL LETTER P WITH FLOURISH,ꝓ,,,p,,,
,LATIN SMALL LETTER Q LIGATED WITH R ROTUNDA,qr,E8B3,qr,,MATENIA,,
ꝙ,LATIN SMALL LETTER Q WITH DIAGONAL STROKE,ꝙ,,,q,,,
ꝗ,LATIN SMALL LETTER Q WITH STROKE THROUGH DESCENDER,ꝗ,A757,q,,,,
Ꝙ,LATIN CAPITAL LETTER Q WITH DIAGONAL STROKE,Ꝙ,A758,Q,,,,
,LATIN SMALL LETTER Q WITH STROKE THROUGH DESCENDER AND TILDE,ꝗ̃,E68B,q,,,,
ͬ,COMBINING LATIN SMALL LETTER R,ͬ,,,r,,,
ᷣ,COMBINING LATIN SMALL LETTER R ROTUNDA,ͬ,,,r,,,
ꝛ,LATIN SMALL LETTER R ROTUNDA,r,,,r,,,
ɼ,LATIN SMALL LETTER R WITH LONG LEG,r,,,r,,,
ꝵ,LATIN SMALL LETTER RUM,ꝵ,A775,r,,,,
ꝝ,LATIN SMALL LETTER RUM ROTUNDA,ꝵ,A75D,r,,MATENIA,,
ˢ,MODIFIER LETTER SMALL S,ᷤ,,,s,,,
ᷤ,COMBINING LATIN SMALL LETTER S,ᷤᷤ,,,s,,,
ſ,LATIN SMALL LETTER LONG S,s,,,s,,,
ẜ,LATIN SMALL LETTER LONG S WITH DIAGONAL STROKE,ẜ,,,s,,,
ͭ,COMBINING LATIN SMALL LETTER T,ͭ,,,t,,,
ͧ,COMBINING LATIN SMALL LETTER U,ͧ,,,u,,,
ũ,LATIN SMALL LETTER U WITH TILDE,ũ,,,u,,,
ͯ,COMBINING LATIN SMALL LETTER X,,036F,x,,,,
ỹ,LATIN SMALL LETTER Y WITH TILDE,y,,,y,,,
ʑ,LATIN SMALL LETTER Z WITH CURL,z,,,z,,,
ƺ,LATIN SMALL LETTER EZH WITH TAIL,z,,,z,,,
᷒,COMBINING US ABOVE,ꝰ,,,us,,,
ꝯ,LATIN SMALL LETTER CON,ꝯ,,,con,,,
ꝰ,MODIFIER LETTER US,ꝰ,,,us,,,
ˀ,MODIFIER LETTER GLOTTAL STOP,,,,,,,
ք,ARMENIAN SMALL LETTER KEH,ꝑ,,,p,,,
,LATIN SMALL LETTER N WITH MEDIUM-HIGH MACRON (ABOVE CHARACTER),ñ,,,n,,,
,LATIN SMALL LETTER P WITH MACRON,p̃,,,p,,,
,LATIN SMALL LETTER Q WITH MACRON,q̃,,,q,,,
,COMBINING HIGH MACRON WITH FIXED HEIGHT (PART-WIDTH),̃,,,,,,
,COMBINING LATIN SMALL LIGATURE AR,,,,ar,,,
,LATIN SMALL LETTER LONG S DESCENDING,s,,,s,,,
,LATIN SMALL LETTER S CLOSED FORM,s,,,s,,,
,LATIN ABBREVIATION SIGN SMALL ET WITH STROKE,⁊,,,et,,,
ꝫ,LATIN SMALL LETTER ET,⁊,A76B,et,,MATENIA,,
,PUNCTUS ELEVATUS,;,,,;,,,
,LATIN ABBREVIATION SIGN SPACING BASE-LINE US,ꝰ,,,us,,,
,LATIN ABBREVIATION SIGN CAPITAL ET WITH STROKE,⁊,,,ET,,,
,LATIN ABBREVIATION SIGN SEMICOLON,,F1AC,;,,,,
,LATIN ABBREVIATION SIGN AUTEM,ħ,E8A3,autem,,MATENIA,,
#r#\uFEFF,ZERO WIDTH NO-BREAK SPACE,,,,,,,
#r#\u200B,ZERO WIDTH SPACE,,,,,,,
,WEIRD ZIG ZAG DIVIDING SIGN,÷,,,est,,,
\,REVERSE SOLIDUS,,005C,\,,,,
|,VERTICAL LINE,,007C,,,,,
đ,LATIN SMALL LETTER D WITH STROKE,đ,111,d,,,,
◌,DOTTED CIRCLE,,25CC,*,,,,
,PUNCTUS INTERROGATIVUS,:,F160,!,,,,
{,LEFT CURLY BRACKET,,007B,{,,MATENIA,,
},RIGHT CURLY BRACKET,,007D,},,MATENIA,,
ƀ,LATIN SMALL LETTER B WITH STROKE,,180,b,,,,
჻,GEORGIAN PARAGRAPH SEPARATOR,:,10FB,,,MATENIA,,
,THREE DOTS WITH COMMA POSITURA,",",F1E6,",",,MATENIA,,
,PUNCTUS ELEVATUS DIAGONAL STROKE,:,F1F0,;,,MATENIA,,
,TWO DOTS OVER COMMA POSITURA,",",F1F2,",",,MATENIA,,
ꝭ,LATIN SMALL LETTER IS ,,A76D,is,,MATENIA,,
ↄ,LATIN SMALL LETTER REVERSED C,,2184,antistigma,,MATENIA,,
^,CIRCUMFLEX ACCENT,,005E,macron,,MATENIA,,
ʜ,LATIN LETTER SMALL H,,029C,autem,,MATENIA,,
ᵈ,MODIFIER LETTER SMALL D,,1D48,d,,MATENIA,,
ᵇ,MODIFIER LETTER SMALL B,,1D47,b,,MATENIA,,
>,GREATER_THAN SIGN,,003E,,,MATENIA,,
